100,110,120,130,140,150,160,170,180,200,250,260,300,350,360,40,400,410,50,500,510,60,600,70,700,710,900,month,por,value0,value1,value10,value11,value12,value13,value14,value15,value16,value17,value18,value19,value2,value20,value3,value4,value5,value6,value7,value8,value9,y0,y1,y2,y3,y4,y5,y6,y7,year,Н1.0,Н1.1,Н1.2,Н10.1,Н12,Н2,Н3,Н4,Н7,Н9.1
4132954.0,265682.0,94321.0,418.0,5092.0,37055.0,0.0,113419.0,82254.0,905353.0,92.0,3591.0,2629360.0,53806.0,6247.0,3534713.0,2803443.0,118560.0,9838.0,857289.0,675604.0,2803443.0,0.0,42565.0,8615.0,0.0,25219.0,3,3,3603.3,101.2,2942,15.4,5.3,6.6,13080.4,3487.6,10.5,788.4,416.7,1340.5,100.7,24.0023,54.0,15.6,34.5,18.9,2.9,25.4,962.6,0,0,0,0,0,0,0,0,2008,-100,-100.0,-100,-100.0,-100.0,-10.0,-10.0,-10.0,-10000.0,-100.0
4372600.0,434226.0,50591.0,419.0,2757.0,37454.0,0.0,135464.0,78672.0,944476.0,209.0,3750.0,2688541.0,20664.0,7186.0,3633017.0,2891278.0,108795.0,10936.0,984326.0,806002.0,2891278.0,0.0,40630.0,7765.0,0.0,41683.0,4,4,3137.73333333,101.2,2900,16.2,4.9,6.4,13382.9,3475.5,10.5,816.8,602.3,1931.8,100.7,23.5027,56.8,21.2,35.7,14.5,4.2,0.2,1047.5,0,0,0,0,0,0,0,0,2008,-100,-100.0,-100,-100.0,-100.0,-10.0,-10.0,-10.0,-10000.0,-100.0
4349079.0,345420.0,20280.0,419.0,2775.0,37844.0,0.0,138358.0,79324.0,985735.0,103.0,3934.0,2738924.0,44689.0,7175.0,3724659.0,2892481.0,122000.0,11109.0,932814.0,738125.0,2892481.0,30000.0,41038.0,8676.0,0.0,45494.0,5,5,3137.73333333,101.4,2575,16.5,4.5,6.6,13347.7,3601.4,10.5,837.8,1084.4,3024.9,104.5,23.6588,63.3,23.4,39.9,16.5,1.0,10.2,1075.0,0,0,0,0,0,0,0,0,2008,-100,-100.0,-100,-100.0,-100.0,-10.0,-10.0,-10.0,-10000.0,-100.0
4477907.0,384982.0,418.0,419.0,2794.0,38164.0,0.0,136725.0,90906.0,1018578.0,106.0,4069.0,2804921.0,58429.0,7156.0,3823499.0,3026327.0,117297.0,11225.0,944648.0,754705.0,3026327.0,0.0,41377.0,7556.0,0.0,54102.0,6,6,3137.73333333,101.4,2794,16.6,4.1,6.4,13724.5,3656.2,10.8,820.0,1329.5,3700.6,103.5,23.7473,65.7,25.4,40.2,14.8,-0.6,-5.3,1113.9,0,0,0,0,0,0,0,0,2008,-100,-100.0,-100,-100.0,-100.0,-10.0,-10.0,-10.0,-10000.0,-100.0
4608155.0,376436.0,70320.0,419.0,2757.0,33896.0,0.0,138020.0,102513.0,1079961.0,185.0,4181.0,2803833.0,41234.0,52163.0,3883794.0,3098127.0,121690.0,56344.0,980830.0,785764.0,3098127.0,0.0,37072.0,12641.0,0.0,68807.0,7,7,3410.33333333,101.0,2859,17.7,4.2,6.2,14244.7,3724.9,11.0,851.8,1405.2,4369.0,104.9,23.4068,67.1,24.5,42.6,18.1,5.4,5.0,1137.0,0,0,0,0,0,0,0,0,2008,-100,-100.0,-100,-100.0,-100.0,-10.0,-10.0,-10.0,-10000.0,-100.0
4663507.0,406010.0,60234.0,418.0,2776.0,34245.0,0.0,138843.0,117207.0,1137807.0,163.0,4162.0,2765967.0,20980.0,6835.0,3903774.0,3074639.0,131360.0,10997.0,1011055.0,815032.0,3074639.0,0.0,37439.0,39160.0,0.0,77718.0,8,8,3410.33333333,100.5,2590,17.8,4.3,5.3,14210.0,3807.2,11.0,863.7,2168.3,5677.4,105.4,23.4186,69.4,25.5,43.8,18.3,0.0,2.5,1185.4,0,0,0,0,0,0,0,0,2008,-100,-100.0,-100,-100.0,-100.0,-10.0,-10.0,-10.0,-10000.0,-100.0
4686970.0,349873.0,408.0,418.0,2794.0,34588.0,0.0,139511.0,121589.0,1206244.0,174.0,4003.0,2831545.0,16286.0,6213.0,4037789.0,3110104.0,128138.0,10216.0,895213.0,722451.0,3110104.0,42000.0,37800.0,54609.0,0.0,93590.0,9,9,3410.33333333,100.4,2956,17.2,4.5,5.3,14530.1,3887.4,11.0,833.5,2405.3,6405.1,100.5,24.666999999999998,76.0,28.6,47.3,18.7,-2.8,2.6,1229.1,0,0,0,0,0,0,0,0,2008,-100,-100.0,-100,-100.0,-100.0,-10.0,-10.0,-10.0,-10000.0,-100.0
4539093.0,289626.0,30341.0,418.0,0.0,34931.0,0.0,137738.0,73116.0,1255946.0,163.0,4373.0,2716977.0,20628.0,6216.0,3972923.0,3032112.0,118045.0,10589.0,861084.0,686703.0,3032112.0,32000.0,35349.0,16545.0,0.0,107710.0,10,10,3655.2,100.8,3017,17.7,4.7,5.3,14374.6,3904.2,11.0,871.2,2652.3,7151.3,95.0,25.3718,72.7,27.1,45.7,18.6,2.1,-7.7,1243.2,0,0,0,0,0,0,0,0,2008,-100,-100.0,-100,-100.0,-100.0,-10.0,-10.0,-10.0,-10000.0,-100.0
3703240.0,31300.0,0.0,416.0,0.0,35288.0,0.0,147126.0,59323.0,1212124.0,56.0,4482.0,2217663.0,0.0,118329.0,3429787.0,2347734.0,55281.0,122811.0,430979.0,255505.0,2347734.0,0.0,35704.0,10789.0,0.0,126373.0,11,11,3655.2,100.9,4024,17.6,5.0,6.1,13519.7,3962.2,12.0,915.9,2885.5,8093.3,93.4,27.0981,71.0,27.2,43.8,16.6,-1.4,-0.5,1278.0,0,0,0,0,0,0,0,0,2008,-100,-100.0,-100,-100.0,-100.0,-10.0,-10.0,-10.0,-10000.0,-100.0
3776499.0,171123.0,0.0,417.0,0.0,35636.0,0.0,146388.0,48382.0,1199302.0,3.0,5974.0,2175251.0,0.0,39301.0,3374553.0,2117884.0,40787.0,45275.0,320374.0,159708.0,2117884.0,723087.0,36053.0,12654.0,0.0,127508.0,12,12,3655.2,100.8,7765,17.6,5.3,6.6,13226.2,3793.1,13.0,977.1,2629.3,8663.9,91.6,27.9409,66.5,27.5,39.1,11.6,-1.1,2.2,1244.9,0,0,0,0,0,0,0,0,2008,-100,-100.0,-100,-100.0,-100.0,-10.0,-10.0,-10.0,-10000.0,-100.0
